npn,nombre_ORIGINAL,nombre_ESTANDARIZADO,nit_ORIGINAL,nit_ESTANDARIZADO,cond_ORIGINAL,cond_ESTANDARIZADA,destino_ORIGINAL,destino_ESTANDARIZADO,ph_ORIGINAL,ph_ESTANDARIZADO
880010100000002600017000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Público,Bien_Uso_Publico,R,Servicios especiales (POR VALIDAR IGAC),No,No
880010100000001230031000000000,,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",,892400038-2,Privado,Bien_Fiscal,,Sin dato,No,No
880010100000002120007000000000,DEPARTAMENTO-ARCHIPIELAGO-SAN-AND,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,R,Servicios especiales (POR VALIDAR IGAC),No,No
880010100000002120024000000000,DEPARTAMENTO-ARCHIPIELAGO-SAN-AND,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,R,Servicios especiales (POR VALIDAR IGAC),No,No
880010100000002710001000000000,DEPARTAMENTO-ARCHIPIELAGO-SAN-AND,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,I,Institucional,No,No
880010100000001610001000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,J,Educativo,No,No
880010100000001240030000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",924000380,892400038-2,Privado,Bien_Fiscal,R,Servicios especiales (POR VALIDAR IGAC),No,No
880010100000001660019000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,G,Recreacional,No,No
880010100000001420093000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,P,Uso publico (POR VALIDAR IGAC),No,No
880010100000002280071000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,P,Uso publico (POR VALIDAR IGAC),No,No
880010100000000400002000000000,DEPARTAMENTO-ARCHIPIELAGO-SAN-AND,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,S,Servicios (POR VALIDAR IGAC),No,No
880010100000000410010000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,I,Institucional,No,No
880010100000000670002000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",892400382,892400038-2,Privado,Bien_Fiscal,A,Habitacional,No,No
880010100000000870006000000000,DEPARTAMENTO-ARCHIPIELAGO-SAN-AND,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,A,Habitacional,No,No
880010100000000190019000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,C,Comercial,No,No
880010100000000710007000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Público,Bien_Uso_Publico,G,Recreacional,No,No
880010100000000760006000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,J,Educativo,No,No
880010100000000140001000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,I,Institucional,No,No
880010100000000360163000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,E,Minero,No,No
880010100000000190017000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,C,Comercial,No,No
880010100000000670015000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,R,Servicios especiales (POR VALIDAR IGAC),No,No
880010100000000350014000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,I,Institucional,No,No
880010100000000120003000000000,GOBERNACION-DE-SAN-ANDRES-PROVIDE,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,I,Institucional,No,No
880010100000000150001000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Público,Bien_Uso_Publico,I,Institucional,No,No
880010100000000640017000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,J,Educativo,No,No
880010100000000130001000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,G,Recreacional,No,No
880010100000001550001000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Público,Bien_Uso_Publico,P,Uso publico (POR VALIDAR IGAC),No,No
880010100000000120002000000000,GOBERNACION-DE-SAN-ANDRES-PROVIDE,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,I,Institucional,No,No
880010100000000260024000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Público,Bien_Uso_Publico,R,Servicios especiales (POR VALIDAR IGAC),No,No
880010100000000100021000000000,DEPARTAMENTO-ARCHIPIELAGO-SAN-AND,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,R,Servicios especiales (POR VALIDAR IGAC),No,No
880010100000000840003000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Público,Bien_Uso_Publico,A,Habitacional,No,No
880010100000000190016000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,C,Comercial,No,No
880010100000000030002000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,R,Servicios especiales (POR VALIDAR IGAC),No,No
880010100000000150002000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Privado,Bien_Fiscal,I,Institucional,No,No
880010000000000140360000000000,DEPARTAMENTO-ARCHIPIELAGO-SAN-AND,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Público,Bien_Uso_Publico,C,Comercial,No,No
880010000000000130121000000000,DEPARTAMENTO-ARCHIPIELAGO-DE-SAN-,"DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",0892400038-2,892400038-2,Público,Bien_Uso_Publico,D,Agropecuario (POR VALIDAR IGAC),No,No
