CAMPO_ORIGEN (shp),SIGNIFICADO,CLASE_LADM_COL,ATRIBUTO_LADM_COL,TRANSFORMACION / NOTA
CODIGO,Numero predial nacional (30 dig.),LA_Predio,npn / T_Id,Copia directa; sirve de llave primaria del predio
CODIGO (geometria),Poligono del terreno,U_Terreno,SHAPE / T_Id / predio_id,La geometria pasa a la unidad espacial; area recalculada del SIG
CODIGO_ANT,Codigo catastral anterior,LA_Predio,codigo_anterior,Copia directa (referencia historica)
R1_Nombre,Nombre del propietario,LA_Interesado,nombre,ESTANDARIZADO: 24 variantes -> 1 nombre canonico unico
R1_NoDocum,Documento del propietario,LA_Interesado,numero_documento,ESTANDARIZADO: NIT corregido a 892400038-2
R1_TipoDoc (N),Tipo de documento,LA_Interesado,tipo_documento,Normalizado: 'N' -> dominio 'NIT'
(deducido),Naturaleza del interesado,LA_Interesado,tipo_interesado,Asignado: 'Persona_Juridica' (entidad publica)
Cond,Condicion (Publico/Privado),LA_Predio,condicion_predio,"Normalizado a dominio: Publico->Bien_Uso_Publico, Privado->Bien_Fiscal"
R1_Destino,Destinacion economica (letra),LA_Predio,destino_economico_cod / destino_economico,Conserva codigo + decodifica descripcion (dominio); ambiguos 'POR VALIDAR IGAC'
PH,Propiedad horizontal,LA_Predio,propiedad_horizontal,Normalizado a dominio Si/No (corrige 'S?')
R1_AreaTer,Area de terreno (registral),LA_Predio,area_registral_m2,Copia directa (m2)
R1_AreaCon,Area construida,LA_Predio,area_construida_m2,Copia directa (m2)
Shape_Area / HA,Area geometrica,LA_Predio + U_Terreno,area_terreno_geom_m2 / area_terreno_ha,Recalculada del SIG (mas confiable que la registral)
R1_Avaluo,Avaluo catastral,LA_Predio,avaluo_catastral,Copia directa
R1_Direcci,Direccion,LA_Predio,direccion,Copia directa
R2_Matricu,Matricula inmobiliaria,LA_FuenteAdministrativa,numero / T_Id,Pasa a fuente administrativa (soporte registral); ORIP 450
(deducido),Tipo de derecho,LA_Derecho,tipo_derecho,Asignado: 'Dominio' (propiedad)
(relacion),Vinculo propietario-predio,LA_Derecho,interesado_id / predio_id / fuente_id,Llaves foraneas que conectan Interesado-Predio-Fuente
R1_Nombre / R1_NoDocum (orig.),Valores originales,AUD_Estandarizacion,nombre_original / nit_original ...,Se conservan SIN cambios para trazabilidad/auditoria
R2_ZonaFis / R2_ZonaEco / R2_AreaTer (y _1),Zona homogenea fisica y geoeconomica del terreno,CR_ZonaHomogenea,zona_fisica_cod / zona_geoeconomica_cod / area_terreno_m2,Migrado por script 05; hasta 2 segmentos de terreno por predio
R2_Habitac / R2_Banos / R2_Locales / R2_Pisos / R2_Estrato / R2_Destino / R2_Puntaje / R2_AreaCon (+ _1 / _2),Caracteristicas fisicas de la construccion (habitaciones, banos, locales, pisos, estrato, destino, puntaje, area),CR_UnidadConstruccion,num_habitaciones / num_banos / num_locales / num_pisos / estrato / destino_construccion_cod / puntaje_calificacion / area_construida_m2,Migrado por script 05; hasta 3 unidades de construccion por predio. destino_construccion_cod = codigo IGAC numerico POR VALIDAR
R2_Departa / R2_Municip / R2_NoPredi / R2_TipoReg / R2_NoOrden / R2_Vigenci ...,Campos administrativos/control duplicados,(no migrado),-,Redundantes con identificacion y vigencia; no aportan al modelo
