T_Id,tipo_derecho,interesado_id,predio_id,fuente_id
DER_880010100000002600017000000000,Dominio,INT_DPTO_88,880010100000002600017000000000,FUE_450-0018185
DER_880010100000001230031000000000,Dominio,INT_DPTO_88,880010100000001230031000000000,
DER_880010100000002120007000000000,Dominio,INT_DPTO_88,880010100000002120007000000000,FUE_450-0002100
DER_880010100000002120024000000000,Dominio,INT_DPTO_88,880010100000002120024000000000,FUE_450-0009970
DER_880010100000002710001000000000,Dominio,INT_DPTO_88,880010100000002710001000000000,FUE_450-0004159
DER_880010100000001610001000000000,Dominio,INT_DPTO_88,880010100000001610001000000000,FUE_450-0023187
DER_880010100000001240030000000000,Dominio,INT_DPTO_88,880010100000001240030000000000,FUE_450-0002030
DER_880010100000001660019000000000,Dominio,INT_DPTO_88,880010100000001660019000000000,FUE_450-0022456
DER_880010100000001420093000000000,Dominio,INT_DPTO_88,880010100000001420093000000000,FUE_450-0005492
DER_880010100000002280071000000000,Dominio,INT_DPTO_88,880010100000002280071000000000,FUE_450-8287
DER_880010100000000400002000000000,Dominio,INT_DPTO_88,880010100000000400002000000000,
DER_880010100000000410010000000000,Dominio,INT_DPTO_88,880010100000000410010000000000,FUE_450-0000126
DER_880010100000000670002000000000,Dominio,INT_DPTO_88,880010100000000670002000000000,FUE_450-22964
DER_880010100000000870006000000000,Dominio,INT_DPTO_88,880010100000000870006000000000,FUE_450-0013348
DER_880010100000000190019000000000,Dominio,INT_DPTO_88,880010100000000190019000000000,FUE_450-0004030
DER_880010100000000710007000000000,Dominio,INT_DPTO_88,880010100000000710007000000000,FUE_450-0009169
DER_880010100000000760006000000000,Dominio,INT_DPTO_88,880010100000000760006000000000,FUE_450-0018919
DER_880010100000000140001000000000,Dominio,INT_DPTO_88,880010100000000140001000000000,FUE_450-0011315
DER_880010100000000360163000000000,Dominio,INT_DPTO_88,880010100000000360163000000000,FUE_450-0015166
DER_880010100000000190017000000000,Dominio,INT_DPTO_88,880010100000000190017000000000,FUE_450-0004028
DER_880010100000000670015000000000,Dominio,INT_DPTO_88,880010100000000670015000000000,FUE_450-0011567
DER_880010100000000350014000000000,Dominio,INT_DPTO_88,880010100000000350014000000000,FUE_450-0007756
DER_880010100000000120003000000000,Dominio,INT_DPTO_88,880010100000000120003000000000,FUE_450-589
DER_880010100000000150001000000000,Dominio,INT_DPTO_88,880010100000000150001000000000,FUE_450-0000590
DER_880010100000000640017000000000,Dominio,INT_DPTO_88,880010100000000640017000000000,FUE_450-0007563
DER_880010100000000130001000000000,Dominio,INT_DPTO_88,880010100000000130001000000000,FUE_450-0015165
DER_880010100000001550001000000000,Dominio,INT_DPTO_88,880010100000001550001000000000,FUE_450-23370
DER_880010100000000120002000000000,Dominio,INT_DPTO_88,880010100000000120002000000000,FUE_450-587
DER_880010100000000260024000000000,Dominio,INT_DPTO_88,880010100000000260024000000000,FUE_450-0001389
DER_880010100000000100021000000000,Dominio,INT_DPTO_88,880010100000000100021000000000,FUE_450-0004158
DER_880010100000000840003000000000,Dominio,INT_DPTO_88,880010100000000840003000000000,FUE_450-0012984
DER_880010100000000190016000000000,Dominio,INT_DPTO_88,880010100000000190016000000000,FUE_450-0004027
DER_880010100000000030002000000000,Dominio,INT_DPTO_88,880010100000000030002000000000,FUE_450-0001986
DER_880010100000000150002000000000,Dominio,INT_DPTO_88,880010100000000150002000000000,FUE_450-0016436
DER_880010000000000140360000000000,Dominio,INT_DPTO_88,880010000000000140360000000000,FUE_450-0010183
DER_880010000000000130121000000000,Dominio,INT_DPTO_88,880010000000000130121000000000,FUE_450-0009504
DER_880010000000000130098000000000,Dominio,INT_DPTO_88,880010000000000130098000000000,FUE_450-0004524
DER_880010000000000130096000000000,Dominio,INT_DPTO_88,880010000000000130096000000000,FUE_450-0007479
DER_880010000000000130097000000000,Dominio,INT_DPTO_88,880010000000000130097000000000,FUE_450-0007539
DER_880010000000000130094000000000,Dominio,INT_DPTO_88,880010000000000130094000000000,FUE_450-0008256
DER_880010000000000130095000000000,Dominio,INT_DPTO_88,880010000000000130095000000000,FUE_450-0004499
DER_880010000000000130099000000000,Dominio,INT_DPTO_88,880010000000000130099000000000,FUE_450-0006655
DER_880010000000000130082000000000,Dominio,INT_DPTO_88,880010000000000130082000000000,FUE_450-0007088
DER_880010000000000130084000000000,Dominio,INT_DPTO_88,880010000000000130084000000000,FUE_450-0004494
DER_880010000000000130088000000000,Dominio,INT_DPTO_88,880010000000000130088000000000,FUE_450-0007402
DER_880010000000000130080000000000,Dominio,INT_DPTO_88,880010000000000130080000000000,FUE_450-0001109
