T_Id,tipo_fuente,numero,ente_emisor
FUE_450-0018185,Matricula_Inmobiliaria,450-0018185,ORIP 450 - San Andres
FUE_450-0002100,Matricula_Inmobiliaria,450-0002100,ORIP 450 - San Andres
FUE_450-0009970,Matricula_Inmobiliaria,450-0009970,ORIP 450 - San Andres
FUE_450-0004159,Matricula_Inmobiliaria,450-0004159,ORIP 450 - San Andres
FUE_450-0023187,Matricula_Inmobiliaria,450-0023187,ORIP 450 - San Andres
FUE_450-0002030,Matricula_Inmobiliaria,450-0002030,ORIP 450 - San Andres
FUE_450-0022456,Matricula_Inmobiliaria,450-0022456,ORIP 450 - San Andres
FUE_450-0005492,Matricula_Inmobiliaria,450-0005492,ORIP 450 - San Andres
FUE_450-8287,Matricula_Inmobiliaria,450-8287,ORIP 450 - San Andres
FUE_450-0000126,Matricula_Inmobiliaria,450-0000126,ORIP 450 - San Andres
FUE_450-22964,Matricula_Inmobiliaria,450-22964,ORIP 450 - San Andres
FUE_450-0013348,Matricula_Inmobiliaria,450-0013348,ORIP 450 - San Andres
FUE_450-0004030,Matricula_Inmobiliaria,450-0004030,ORIP 450 - San Andres
FUE_450-0009169,Matricula_Inmobiliaria,450-0009169,ORIP 450 - San Andres
FUE_450-0018919,Matricula_Inmobiliaria,450-0018919,ORIP 450 - San Andres
FUE_450-0011315,Matricula_Inmobiliaria,450-0011315,ORIP 450 - San Andres
FUE_450-0015166,Matricula_Inmobiliaria,450-0015166,ORIP 450 - San Andres
FUE_450-0004028,Matricula_Inmobiliaria,450-0004028,ORIP 450 - San Andres
FUE_450-0011567,Matricula_Inmobiliaria,450-0011567,ORIP 450 - San Andres
FUE_450-0007756,Matricula_Inmobiliaria,450-0007756,ORIP 450 - San Andres
FUE_450-589,Matricula_Inmobiliaria,450-589,ORIP 450 - San Andres
FUE_450-0000590,Matricula_Inmobiliaria,450-0000590,ORIP 450 - San Andres
FUE_450-0007563,Matricula_Inmobiliaria,450-0007563,ORIP 450 - San Andres
FUE_450-0015165,Matricula_Inmobiliaria,450-0015165,ORIP 450 - San Andres
FUE_450-23370,Matricula_Inmobiliaria,450-23370,ORIP 450 - San Andres
FUE_450-587,Matricula_Inmobiliaria,450-587,ORIP 450 - San Andres
FUE_450-0001389,Matricula_Inmobiliaria,450-0001389,ORIP 450 - San Andres
FUE_450-0004158,Matricula_Inmobiliaria,450-0004158,ORIP 450 - San Andres
FUE_450-0012984,Matricula_Inmobiliaria,450-0012984,ORIP 450 - San Andres
FUE_450-0004027,Matricula_Inmobiliaria,450-0004027,ORIP 450 - San Andres
FUE_450-0001986,Matricula_Inmobiliaria,450-0001986,ORIP 450 - San Andres
FUE_450-0016436,Matricula_Inmobiliaria,450-0016436,ORIP 450 - San Andres
FUE_450-0010183,Matricula_Inmobiliaria,450-0010183,ORIP 450 - San Andres
FUE_450-0009504,Matricula_Inmobiliaria,450-0009504,ORIP 450 - San Andres
FUE_450-0004524,Matricula_Inmobiliaria,450-0004524,ORIP 450 - San Andres
FUE_450-0007479,Matricula_Inmobiliaria,450-0007479,ORIP 450 - San Andres
FUE_450-0007539,Matricula_Inmobiliaria,450-0007539,ORIP 450 - San Andres
FUE_450-0008256,Matricula_Inmobiliaria,450-0008256,ORIP 450 - San Andres
FUE_450-0004499,Matricula_Inmobiliaria,450-0004499,ORIP 450 - San Andres
FUE_450-0006655,Matricula_Inmobiliaria,450-0006655,ORIP 450 - San Andres
FUE_450-0007088,Matricula_Inmobiliaria,450-0007088,ORIP 450 - San Andres
FUE_450-0004494,Matricula_Inmobiliaria,450-0004494,ORIP 450 - San Andres
FUE_450-0007402,Matricula_Inmobiliaria,450-0007402,ORIP 450 - San Andres
FUE_450-0001109,Matricula_Inmobiliaria,450-0001109,ORIP 450 - San Andres
FUE_450-0019032,Matricula_Inmobiliaria,450-0019032,ORIP 450 - San Andres
FUE_450-0023027,Matricula_Inmobiliaria,450-0023027,ORIP 450 - San Andres
FUE_450-0017771,Matricula_Inmobiliaria,450-0017771,ORIP 450 - San Andres
FUE_450-0022455,Matricula_Inmobiliaria,450-0022455,ORIP 450 - San Andres
FUE_450-21666,Matricula_Inmobiliaria,450-21666,ORIP 450 - San Andres
FUE_450-0007561,Matricula_Inmobiliaria,450-0007561,ORIP 450 - San Andres
