T_Id,npn,codigo_anterior,tipo_predio,condicion_predio,destino_economico_cod,destino_economico,propiedad_horizontal,area_terreno_geom_m2,area_terreno_ha,area_registral_m2,area_construida_m2,avaluo_catastral,direccion,matricula_inmobiliaria
PRE_880010100000002600017000000000,880010100000002600017000000000,88001010002600017000,Publico,Bien_Uso_Publico,R,Servicios especiales (POR VALIDAR IGAC),No,1056.59,0.1057,1047.0,0.0,12774000.0,T 10A 9 184 DAVID HILL CANCHA,450-0018185
PRE_880010100000001230031000000000,880010100000001230031000000000,88001010001230031000,Privado,Bien_Fiscal,,Sin dato,No,761.4,0.0761,0.0,0.0,0.0,,
PRE_880010100000002120007000000000,880010100000002120007000000000,88001010002120007000,Privado,Bien_Fiscal,R,Servicios especiales (POR VALIDAR IGAC),No,194.01,0.0194,195.0,0.0,585000.0,C 9 10 55 CLIFF,450-0002100
PRE_880010100000002120024000000000,880010100000002120024000000000,88001010002120024000,Privado,Bien_Fiscal,R,Servicios especiales (POR VALIDAR IGAC),No,517.36,0.0517,516.0,0.0,1548000.0,C 9 10 59 2DA FRANJA,450-0009970
PRE_880010100000002710001000000000,880010100000002710001000000000,88001010002710001000,Privado,Bien_Fiscal,I,Institucional,No,206.44,0.0206,184.0,12.0,227096000.0,C 1 5 17 A COLOMBIA C.A.I.,450-0004159
PRE_880010100000001610001000000000,880010100000001610001000000000,88001010001610001000,Privado,Bien_Fiscal,J,Educativo,No,18093.07,1.8093,17799.0,2937.0,1734577000.0,K 1A 14 101 BILL TAYLOR INSTITUTO,450-0023187
PRE_880010100000001240030000000000,880010100000001240030000000000,88001010001240030000,Privado,Bien_Fiscal,R,Servicios especiales (POR VALIDAR IGAC),No,107.37,0.0107,100.0,0.0,3600000.0,C 4 14 07,450-0002030
PRE_880010100000001660019000000000,880010100000001660019000000000,88001010001660019000,Privado,Bien_Fiscal,G,Recreacional,No,186.77,0.0187,220.0,0.0,9240000.0,K 11 20 02 PARQUE DE NATANIA,450-0022456
PRE_880010100000001420093000000000,880010100000001420093000000000,88001010001420093000,Privado,Bien_Fiscal,P,Uso publico (POR VALIDAR IGAC),No,1667.87,0.1668,1633.0,0.0,39192000.0,AREAS DE VIAS Y ZONAS VERDES,450-0005492
PRE_880010100000002280071000000000,880010100000002280071000000000,88001010002280071000,Privado,Bien_Fiscal,P,Uso publico (POR VALIDAR IGAC),No,281.78,0.0282,104.0,0.0,2496000.0,C 11B 11 91 INT,450-8287
